# Supplementary Table 10. Differentially expressed genes of subsets within major cell lineages
# Differentially expressed genes for each cluster analyzed within each major cell lineage (Cancer epithelial, Normal Epithelial, T-cells, B-cells, Myeloid, CAFs, PVL and Endothelial). Subset level clusters were compared against all other clusters within their major lineage using the MAST method (FindAllMarkers) with a log-scale fold change threshold of 0.25, detected in at least 0.1 of cells in either clusters and genes with a fraction difference of 0.1. Genes were filtered by an adjusted p-value threshold of 0.05. Statistical significance for differential gene expression in MAST69 was determined using the wilcox test, with all p-values adjusted using bonferroni correction.
p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	major lineage
8.58E-303	0.259301512	0.353	0.085	2.55E-298	T_cells_c11_MKI67	MRPL36	T-cells
2.00E-243	0.259033397	0.355	0.103	5.94E-239	T_cells_c11_MKI67	MLEC	T-cells
0	0.259014087	0.544	0.198	0	T_cells_c11_MKI67	C16orf13	T-cells
2.64E-271	0.258914585	0.56	0.231	7.86E-267	T_cells_c11_MKI67	DCXR	T-cells
6.87119112200994e-315	0.258523155	0.432	0.126	2.04301125630722e-310	T_cells_c11_MKI67	SNX5	T-cells
1.32E-251	0.257949378	0.319	0.079	3.93E-247	T_cells_c11_MKI67	HAT1	T-cells
8.31E-305	0.25758855	0.412	0.118	2.47E-300	T_cells_c11_MKI67	SYNCRIP	T-cells
2.62E-304	0.257038669	0.448	0.145	7.80E-300	T_cells_c11_MKI67	NDUFC1	T-cells
1.33E-265	0.25697587	0.179	0.007	3.96E-261	T_cells_c11_MKI67	CENPP	T-cells
1.56E-276	0.256743013	0.207	0.014	4.63E-272	T_cells_c11_MKI67	RFC5	T-cells
3.78E-271	0.256614233	0.358	0.096	1.13E-266	T_cells_c11_MKI67	MAZ	T-cells
5.97E-212	0.256585506	0.197	0.024	1.77E-207	T_cells_c11_MKI67	CEP295	T-cells
7.84506782504065e-310	0.256512902	0.408	0.119	2.33E-305	T_cells_c11_MKI67	POLR2I	T-cells
2.15E-215	0.256512441	0.611	0.301	6.40E-211	T_cells_c11_MKI67	MYH9	T-cells
7.98E-228	0.256174207	0.609	0.287	2.37E-223	T_cells_c11_MKI67	CCDC85B	T-cells
1.14E-286	0.256025687	0.454	0.155	3.40E-282	T_cells_c11_MKI67	LMAN1	T-cells
2.29E-250	0.255741988	0.253	0.039	6.82E-246	T_cells_c11_MKI67	MRPL15	T-cells
1.58E-226	0.255337923	0.211	0.028	4.69E-222	T_cells_c11_MKI67	CCDC18	T-cells
4.32E-276	0.255273724	0.631	0.278	1.28E-271	T_cells_c11_MKI67	UBE2N	T-cells
1.23E-290	0.255177192	0.418	0.129	3.66E-286	T_cells_c11_MKI67	ETHE1	T-cells
9.16E-278	0.254498242	0.63	0.283	2.72E-273	T_cells_c11_MKI67	BSG	T-cells
1.11E-232	0.254401752	0.239	0.039	3.31E-228	T_cells_c11_MKI67	MRTO4	T-cells
4.07E-252	0.253631485	0.251	0.043	1.21E-247	T_cells_c11_MKI67	PARVB	T-cells
7.42E-293	0.253477616	0.185	0.005	2.21E-288	T_cells_c11_MKI67	TRIP13	T-cells
3.73E-302	0.252934005	0.367	0.093	1.11E-297	T_cells_c11_MKI67	MRPL22	T-cells
1.55E-257	0.252683021	0.188	0.01	4.62E-253	T_cells_c11_MKI67	WDHD1	T-cells
1.71E-284	0.252498911	0.583	0.242	5.09E-280	T_cells_c11_MKI67	PPP1CC	T-cells
1.12E-296	0.252278691	0.284	0.046	3.34E-292	T_cells_c11_MKI67	ICT1	T-cells
4.72E-252	0.252174319	0.304	0.068	1.40E-247	T_cells_c11_MKI67	PPIF	T-cells
5.02E-276	0.252140369	0.49	0.18	1.49E-271	T_cells_c11_MKI67	RAB27A	T-cells
2.88E-157	0.251859518	0.177	0.027	8.56E-153	T_cells_c11_MKI67	MSH6	T-cells
2.87E-168	0.251823564	0.338	0.122	8.53E-164	T_cells_c11_MKI67	PDCD1	T-cells
1.61E-78	0.25150472	0.209	0.079	4.79E-74	T_cells_c11_MKI67	HLA-DQA2	T-cells
3.72E-304	0.250875157	0.491	0.172	1.11E-299	T_cells_c11_MKI67	NDUFB1	T-cells
2.34E-70	0.250853231	0.898	0.717	6.95E-66	T_cells_c11_MKI67	ATP5L	T-cells
3.21E-291	0.250732333	0.359	0.092	9.53E-287	T_cells_c11_MKI67	GLRX3	T-cells
4.88000604667341e-316	0.250605408	0.326	0.07	1.45097219785741e-311	T_cells_c11_MKI67	SLC25A1	T-cells
1.83204368499294e-316	0.250563841	0.541	0.199	5.44721548858951e-312	T_cells_c11_MKI67	ROMO1	T-cells
1.50E-50	0.250352331	0.177	0.073	4.47E-46	T_cells_c11_MKI67	IL2RA	T-cells
1.16E-256	0.250342928	0.32	0.081	3.46E-252	T_cells_c11_MKI67	EIF4G1	T-cells
3.60E-297	0.250295636	0.308	0.063	1.07E-292	T_cells_c11_MKI67	UCHL5	T-cells
0	2.252174122	0.559	0.006	0	T_cells_c10_NKT_cells_FCGR3A	FGFBP2	T-cells
0	2.088737888	0.84	0.147	0	T_cells_c10_NKT_cells_FCGR3A	GNLY	T-cells
0	1.929346865	0.972	0.359	0	T_cells_c10_NKT_cells_FCGR3A	NKG7	T-cells
0	1.919122695	0.528	0.018	0	T_cells_c10_NKT_cells_FCGR3A	FCGR3A	T-cells
0	1.787880833	0.686	0.171	0	T_cells_c10_NKT_cells_FCGR3A	PRF1	T-cells
0	1.729160549	0.8	0.186	0	T_cells_c10_NKT_cells_FCGR3A	GZMB	T-cells
0	1.698432527	0.427	0.042	0	T_cells_c10_NKT_cells_FCGR3A	SPON2	T-cells
0	1.648391822	0.555	0.081	0	T_cells_c10_NKT_cells_FCGR3A	TYROBP	T-cells
0	1.53266725	0.727	0.17	0	T_cells_c10_NKT_cells_FCGR3A	KLRD1	T-cells
0	1.525202548	0.255	0.007	0	T_cells_c10_NKT_cells_FCGR3A	MYOM2	T-cells
0	1.512945756	0.661	0.155	0	T_cells_c10_NKT_cells_FCGR3A	GZMH	T-cells
1.90E-286	1.511231474	0.428	0.063	5.66E-282	T_cells_c10_NKT_cells_FCGR3A	FCER1G	T-cells
0	1.495046021	0.4	0.016	0	T_cells_c10_NKT_cells_FCGR3A	KLRF1	T-cells
2.54E-145	1.438320313	0.115	0.007	7.56E-141	T_cells_c10_NKT_cells_FCGR3A	PTGDS	T-cells
1.49E-121	1.380395694	0.368	0.112	4.42E-117	T_cells_c10_NKT_cells_FCGR3A	CCL3	T-cells
4.55E-302	1.364658804	0.477	0.095	1.35E-297	T_cells_c10_NKT_cells_FCGR3A	PLAC8	T-cells
1.65E-272	1.124228226	0.803	0.346	4.92E-268	T_cells_c10_NKT_cells_FCGR3A	GZMA	T-cells
3.86E-261	1.096983719	0.788	0.435	1.15E-256	T_cells_c10_NKT_cells_FCGR3A	CST7	T-cells
1.99E-168	1.0956022	0.33	0.086	5.92E-164	T_cells_c10_NKT_cells_FCGR3A	CLIC3	T-cells
5.25E-236	1.061930609	0.713	0.303	1.56E-231	T_cells_c10_NKT_cells_FCGR3A	CTSW	T-cells
6.20105344427342e-316	1.047452466	0.892	0.352	1.84375922058582e-311	T_cells_c10_NKT_cells_FCGR3A	CCL4	T-cells
8.93E-204	1.046219603	0.611	0.217	2.65E-199	T_cells_c10_NKT_cells_FCGR3A	HOPX	T-cells
7.69E-245	1.035365859	0.32	0.036	2.29E-240	T_cells_c10_NKT_cells_FCGR3A	PLEK	T-cells
1.12E-157	1.032620311	0.357	0.071	3.32E-153	T_cells_c10_NKT_cells_FCGR3A	TRDC	T-cells
0	1.006191079	0.252	0.004	0	T_cells_c10_NKT_cells_FCGR3A	S1PR5	T-cells
1.06E-110	0.909282608	0.354	0.142	3.15E-106	T_cells_c10_NKT_cells_FCGR3A	CMC1	T-cells
1.79E-139	0.890952773	0.263	0.055	5.33E-135	T_cells_c10_NKT_cells_FCGR3A	IGFBP7	T-cells
2.57E-198	0.890177378	0.53	0.324	7.65E-194	T_cells_c10_NKT_cells_FCGR3A	CD247	T-cells
6.97E-269	0.877369711	0.193	0.003	2.07E-264	T_cells_c10_NKT_cells_FCGR3A	CX3CR1	T-cells
4.38E-152	0.85265428	0.522	0.251	1.30E-147	T_cells_c10_NKT_cells_FCGR3A	GZMM	T-cells
2.46E-109	0.847489772	0.566	0.273	7.33E-105	T_cells_c10_NKT_cells_FCGR3A	KLRB1	T-cells
2.59E-200	0.829949079	0.643	0.514	7.70E-196	T_cells_c10_NKT_cells_FCGR3A	CYBA	T-cells
2.20E-144	0.812299313	0.312	0.098	6.54E-140	T_cells_c10_NKT_cells_FCGR3A	EFHD2	T-cells
2.58E-161	0.803805062	0.547	0.363	7.67E-157	T_cells_c10_NKT_cells_FCGR3A	ITGB2	T-cells
2.12E-185	0.79470548	0.193	0.01	6.31E-181	T_cells_c10_NKT_cells_FCGR3A	PRSS23	T-cells
2.97E-116	0.787403007	0.344	0.107	8.82E-112	T_cells_c10_NKT_cells_FCGR3A	MATK	T-cells
8.38E-115	0.764252706	0.455	0.229	2.49E-110	T_cells_c10_NKT_cells_FCGR3A	C12orf75	T-cells
2.02E-137	0.763449617	0.223	0.033	6.02E-133	T_cells_c10_NKT_cells_FCGR3A	ADGRG1	T-cells
6.79E-130	0.755194461	0.234	0.041	2.02E-125	T_cells_c10_NKT_cells_FCGR3A	CD300A	T-cells
1.86E-84	0.743327812	0.345	0.135	5.53E-80	T_cells_c10_NKT_cells_FCGR3A	ZEB2	T-cells
2.22E-110	0.739192228	0.333	0.137	6.59E-106	T_cells_c10_NKT_cells_FCGR3A	APMAP	T-cells
1.47E-61	0.73855303	0.147	0.028	4.37E-57	T_cells_c10_NKT_cells_FCGR3A	SCGB1B2P	T-cells
2.64E-147	0.73156682	0.197	0.028	7.85E-143	T_cells_c10_NKT_cells_FCGR3A	TTC38	T-cells
7.50E-125	0.718369058	0.168	0.015	2.23E-120	T_cells_c10_NKT_cells_FCGR3A	SH2D1B	T-cells
7.69E-83	0.713728715	0.223	0.066	2.29E-78	T_cells_c10_NKT_cells_FCGR3A	LAIR2	T-cells
2.84E-146	0.706697768	0.203	0.021	8.45E-142	T_cells_c10_NKT_cells_FCGR3A	C1orf21	T-cells
1.66E-83	0.676420461	0.335	0.153	4.92E-79	T_cells_c10_NKT_cells_FCGR3A	PYHIN1	T-cells
1.01E-97	0.661282175	0.42	0.229	2.99E-93	T_cells_c10_NKT_cells_FCGR3A	BIN2	T-cells
1.71E-91	0.659970389	0.137	0.018	5.09E-87	T_cells_c10_NKT_cells_FCGR3A	CD160	T-cells
8.33E-129	0.654063455	0.811	0.642	2.48E-124	T_cells_c10_NKT_cells_FCGR3A	IFITM2	T-cells
1.94E-78	0.650412833	0.278	0.116	5.77E-74	T_cells_c10_NKT_cells_FCGR3A	MYO1F	T-cells
3.47E-105	0.64670503	0.186	0.028	1.03E-100	T_cells_c10_NKT_cells_FCGR3A	FCRL6	T-cells
3.54E-142	0.64311927	0.16	0.011	1.05E-137	T_cells_c10_NKT_cells_FCGR3A	FGR	T-cells
5.69E-153	0.642913723	0.131	0.003	1.69E-148	T_cells_c10_NKT_cells_FCGR3A	AKR1C3	T-cells
3.62E-57	0.638896342	0.366	0.164	1.08E-52	T_cells_c10_NKT_cells_FCGR3A	CCL4L2	T-cells
5.89E-38	0.632679994	0.209	0.084	1.75E-33	T_cells_c10_NKT_cells_FCGR3A	KLRC1	T-cells
1.13E-101	0.624163088	0.67	0.446	3.36E-97	T_cells_c10_NKT_cells_FCGR3A	LITAF	T-cells
1.90E-64	0.621497306	0.563	0.352	5.65E-60	T_cells_c10_NKT_cells_FCGR3A	LGALS1	T-cells
7.57E-84	0.615453075	0.503	0.312	2.25E-79	T_cells_c10_NKT_cells_FCGR3A	GSTP1	T-cells
2.87E-40	0.604542192	0.16	0.051	8.53E-36	T_cells_c10_NKT_cells_FCGR3A	MUCL1	T-cells
1.20E-107	0.597490511	0.701	0.571	3.58E-103	T_cells_c10_NKT_cells_FCGR3A	HCST	T-cells
2.96E-78	0.597260372	0.643	0.499	8.79E-74	T_cells_c10_NKT_cells_FCGR3A	IER2	T-cells
8.41E-75	0.597239403	0.283	0.135	2.50E-70	T_cells_c10_NKT_cells_FCGR3A	SPN	T-cells
8.87E-72	0.590577576	0.215	0.094	2.64E-67	T_cells_c10_NKT_cells_FCGR3A	GNPTAB	T-cells
8.65E-67	0.589219966	0.193	0.057	2.57E-62	T_cells_c10_NKT_cells_FCGR3A	TXK	T-cells
1.61E-63	0.578849315	0.222	0.074	4.80E-59	T_cells_c10_NKT_cells_FCGR3A	NCR3	T-cells
1.84E-71	0.578737309	0.176	0.037	5.48E-67	T_cells_c10_NKT_cells_FCGR3A	PTGDR	T-cells
4.84E-64	0.578144186	0.306	0.16	1.44E-59	T_cells_c10_NKT_cells_FCGR3A	TPST2	T-cells
8.49E-56	0.573478132	0.529	0.368	2.53E-51	T_cells_c10_NKT_cells_FCGR3A	ID2	T-cells
1.05E-59	0.560634498	0.351	0.213	3.12E-55	T_cells_c10_NKT_cells_FCGR3A	CDC42SE1	T-cells
6.06E-56	0.559244114	0.39	0.215	1.80E-51	T_cells_c10_NKT_cells_FCGR3A	GPR65	T-cells
4.61E-80	0.558163361	0.436	0.318	1.37E-75	T_cells_c10_NKT_cells_FCGR3A	CCND3	T-cells
2.72E-45	0.557166828	0.257	0.122	8.10E-41	T_cells_c10_NKT_cells_FCGR3A	LINC00861	T-cells
1.17E-55	0.551069875	0.218	0.101	3.47E-51	T_cells_c10_NKT_cells_FCGR3A	ABI3	T-cells
1.81E-59	0.5488741	0.189	0.072	5.39E-55	T_cells_c10_NKT_cells_FCGR3A	HSH2D	T-cells
1.89E-57	0.548013912	0.224	0.108	5.62E-53	T_cells_c10_NKT_cells_FCGR3A	RAB29	T-cells
4.62E-42	0.537213285	0.222	0.092	1.37E-37	T_cells_c10_NKT_cells_FCGR3A	KLRG1	T-cells
3.06E-79	0.535188168	0.125	0.017	9.10E-75	T_cells_c10_NKT_cells_FCGR3A	GK5	T-cells
1.32E-78	0.534161081	0.42	0.296	3.93E-74	T_cells_c10_NKT_cells_FCGR3A	FAM49B	T-cells
1.09E-62	0.526739169	0.175	0.043	3.23E-58	T_cells_c10_NKT_cells_FCGR3A	ADRB2	T-cells
1.33E-58	0.523789152	0.353	0.228	3.95E-54	T_cells_c10_NKT_cells_FCGR3A	FLNA	T-cells
1.46E-59	0.51808065	0.153	0.034	4.33E-55	T_cells_c10_NKT_cells_FCGR3A	TRGC1	T-cells
3.03E-56	0.516613082	0.318	0.182	9.02E-52	T_cells_c10_NKT_cells_FCGR3A	DSTN	T-cells
2.67E-132	0.515768018	0.893	0.578	7.93E-128	T_cells_c10_NKT_cells_FCGR3A	CCL5	T-cells
5.37E-68	0.514777873	0.142	0.041	1.60E-63	T_cells_c10_NKT_cells_FCGR3A	CEP78	T-cells
1.76E-52	0.514026409	0.197	0.088	5.24E-48	T_cells_c10_NKT_cells_FCGR3A	RHOC	T-cells
4.54E-49	0.509069453	0.306	0.18	1.35E-44	T_cells_c10_NKT_cells_FCGR3A	AKNA	T-cells
4.01E-44	0.503283699	0.25	0.13	1.19E-39	T_cells_c10_NKT_cells_FCGR3A	SAMD3	T-cells
2.29E-47	0.502735502	0.216	0.101	6.81E-43	T_cells_c10_NKT_cells_FCGR3A	STARD3NL	T-cells
8.29E-98	0.501176946	0.784	0.671	2.46E-93	T_cells_c10_NKT_cells_FCGR3A	ARPC2	T-cells
8.32E-61	0.500866877	0.152	0.043	2.47E-56	T_cells_c10_NKT_cells_FCGR3A	UBE2F	T-cells
6.10E-47	0.50059972	0.204	0.075	1.81E-42	T_cells_c10_NKT_cells_FCGR3A	PTGER2	T-cells
1.24E-29	0.500315656	0.482	0.372	3.68E-25	T_cells_c10_NKT_cells_FCGR3A	GADD45B	T-cells
2.38E-44	0.495961379	0.284	0.161	7.07E-40	T_cells_c10_NKT_cells_FCGR3A	CHST12	T-cells
5.49E-46	0.489838059	0.417	0.284	1.63E-41	T_cells_c10_NKT_cells_FCGR3A	CD63	T-cells
4.29E-41	0.488187348	0.208	0.092	1.28E-36	T_cells_c10_NKT_cells_FCGR3A	C1orf162	T-cells
1.42E-51	0.477646602	0.418	0.283	4.22E-47	T_cells_c10_NKT_cells_FCGR3A	XBP1	T-cells
1.22E-50	0.473677633	0.193	0.081	3.62E-46	T_cells_c10_NKT_cells_FCGR3A	SH3BP5	T-cells
5.28E-49	0.471479341	0.176	0.069	1.57E-44	T_cells_c10_NKT_cells_FCGR3A	TFDP2	T-cells
3.48E-58	0.470250227	0.504	0.394	1.04E-53	T_cells_c10_NKT_cells_FCGR3A	DBI	T-cells
3.60E-32	0.466549732	0.621	0.504	1.07E-27	T_cells_c10_NKT_cells_FCGR3A	NEAT1	T-cells
1.20E-57	0.461410566	0.564	0.448	3.56E-53	T_cells_c10_NKT_cells_FCGR3A	EMP3	T-cells
3.01E-39	0.459063685	0.187	0.071	8.94E-35	T_cells_c10_NKT_cells_FCGR3A	AOAH	T-cells
1.21E-32	0.448045339	0.398	0.283	3.61E-28	T_cells_c10_NKT_cells_FCGR3A	SYTL3	T-cells
4.98E-38	0.443059559	0.205	0.102	1.48E-33	T_cells_c10_NKT_cells_FCGR3A	SYNE1	T-cells
4.19E-35	0.4136617	0.215	0.111	1.25E-30	T_cells_c10_NKT_cells_FCGR3A	PTPN4	T-cells
8.18E-40	0.411131587	0.332	0.225	2.43E-35	T_cells_c10_NKT_cells_FCGR3A	ARPC5L	T-cells
1.00E-45	0.406074587	0.526	0.425	2.98E-41	T_cells_c10_NKT_cells_FCGR3A	CD53	T-cells
7.11E-35	0.404788421	0.444	0.32	2.11E-30	T_cells_c10_NKT_cells_FCGR3A	CTSC	T-cells
7.74E-32	0.392305553	0.419	0.3	2.30E-27	T_cells_c10_NKT_cells_FCGR3A	APOBEC3G	T-cells
1.20E-45	0.360104166	0.319	0.147	3.58E-41	T_cells_c10_NKT_cells_FCGR3A	XCL2	T-cells
1.88E-15	0.318647244	0.315	0.21	5.59E-11	T_cells_c10_NKT_cells_FCGR3A	IFNG	T-cells
2.20E-20	2.029103058	0.276	0.107	6.53E-16	B cells Memory	IGHA1	B-cells
8.72E-53	1.576193236	0.376	0.088	2.59E-48	B cells Memory	HSPA1A	B-cells
4.20E-55	1.516608569	0.36	0.069	1.25E-50	B cells Memory	HSPA1B	B-cells
7.05E-38	1.264900057	0.444	0.195	2.09E-33	B cells Memory	DNAJB1	B-cells
2.09E-45	1.158271214	0.68	0.414	6.23E-41	B cells Memory	KLF6	B-cells
5.00E-17	1.041619346	0.239	0.093	1.49E-12	B cells Memory	IGHG1	B-cells
2.03E-38	0.995273934	0.79	0.621	6.05E-34	B cells Memory	HSP90AA1	B-cells
3.05E-31	0.958821532	0.364	0.136	9.08E-27	B cells Memory	HSPH1	B-cells
2.32E-43	0.942420406	0.283	0.048	6.89E-39	B cells Memory	LGALS1	B-cells
8.20E-29	0.891473633	0.425	0.198	2.44E-24	B cells Memory	DUSP2	B-cells
1.61E-30	0.872288482	0.513	0.275	4.79E-26	B cells Memory	DNAJA1	B-cells
3.44E-19	0.835658114	0.291	0.123	1.02E-14	B cells Memory	HSPB1	B-cells
1.16E-28	0.797840345	0.463	0.237	3.44E-24	B cells Memory	FOSB	B-cells
8.50E-31	0.790337486	0.597	0.362	2.53E-26	B cells Memory	PPP1R15A	B-cells
2.38E-40	0.789277183	0.726	0.472	7.06E-36	B cells Memory	HSPA8	B-cells
8.72E-22	0.739040005	0.314	0.131	2.59E-17	B cells Memory	CDKN1A	B-cells
1.10E-30	0.735972607	0.549	0.296	3.28E-26	B cells Memory	HSPE1	B-cells
6.40E-17	0.721269301	0.22	0.08	1.90E-12	B cells Memory	EGR1	B-cells
1.07E-24	0.707815138	0.539	0.328	3.18E-20	B cells Memory	SRGN	B-cells
6.34E-20	0.707245969	0.456	0.266	1.88E-15	B cells Memory	NR4A1	B-cells
5.04E-32	0.693378608	0.197	0.027	1.50E-27	B cells Memory	CD70	B-cells
1.29E-34	0.690975926	0.812	0.637	3.84E-30	B cells Memory	UBC	B-cells
2.66E-45	0.685498393	0.251	0.029	7.92E-41	B cells Memory	TNFRSF13B	B-cells
1.09E-17	0.685018504	0.57	0.411	3.24E-13	B cells Memory	NR4A2	B-cells
9.52E-26	0.683554211	0.306	0.109	2.83E-21	B cells Memory	S100A4	B-cells
3.70E-25	0.670786336	0.292	0.101	1.10E-20	B cells Memory	BCL2A1	B-cells
2.49E-22	0.668131689	0.204	0.053	7.39E-18	B cells Memory	NEU1	B-cells
4.32E-17	0.666350953	0.226	0.083	1.28E-12	B cells Memory	RGCC	B-cells
3.50E-17	0.660888434	0.327	0.163	1.04E-12	B cells Memory	TUBB4B	B-cells
2.27E-23	0.645152133	0.416	0.205	6.76E-19	B cells Memory	NEAT1	B-cells
8.78E-26	0.6357676	0.42	0.198	2.61E-21	B cells Memory	MCL1	B-cells
4.90E-22	0.631215909	0.778	0.634	1.46E-17	B cells Memory	HSP90AB1	B-cells
6.31E-25	0.630723938	0.389	0.174	1.88E-20	B cells Memory	GPR183	B-cells
3.87E-27	0.629519212	0.516	0.283	1.15E-22	B cells Memory	COTL1	B-cells
7.41E-12	0.625259174	0.32	0.181	2.20E-07	B cells Memory	JUND	B-cells
3.37E-30	0.620834042	0.338	0.117	1.00E-25	B cells Memory	CD82	B-cells
1.52E-22	0.601344246	0.592	0.402	4.53E-18	B cells Memory	VIM	B-cells
2.65E-18	0.600036596	0.193	0.058	7.88E-14	B cells Memory	GLA	B-cells
3.45E-28	0.584214101	0.225	0.051	1.02E-23	B cells Memory	AHNAK	B-cells
2.77E-16	0.583644927	0.444	0.266	8.25E-12	B cells Memory	HSPD1	B-cells
3.34E-36	0.577292195	0.212	0.027	9.93E-32	B cells Memory	CD27	B-cells
1.35E-26	0.574015553	0.218	0.05	4.03E-22	B cells Memory	CRIP1	B-cells
1.07E-27	0.573367717	0.225	0.051	3.18E-23	B cells Memory	SAMSN1	B-cells
1.44E-23	0.571372038	0.49	0.267	4.28E-19	B cells Memory	DYNLL1	B-cells
5.86E-20	0.569209658	0.575	0.381	1.74E-15	B cells Memory	AC090498.1	B-cells
1.20E-12	0.562528143	0.152	0.051	3.56E-08	B cells Memory	TNF	B-cells
1.84E-13	0.560272214	0.185	0.069	5.48E-09	B cells Memory	LMNA	B-cells
3.41E-21	0.557097036	0.331	0.144	1.02E-16	B cells Memory	NFKBID	B-cells
1.82E-20	0.549879129	0.15	0.027	5.41E-16	B cells Memory	IER5	B-cells
3.45E-33	0.549280511	0.219	0.035	1.02E-28	B cells Memory	AIM2	B-cells
1.09E-19	0.547803003	0.293	0.122	3.23E-15	B cells Memory	RILPL2	B-cells
8.81E-33	0.545416247	0.188	0.022	2.62E-28	B cells Memory	CLECL1	B-cells
1.70E-23	0.542835111	0.246	0.075	5.04E-19	B cells Memory	ACP5	B-cells
7.78E-16	0.538151234	0.137	0.032	2.31E-11	B cells Memory	DUSP4	B-cells
5.16E-13	0.536574468	0.331	0.184	1.54E-08	B cells Memory	ID3	B-cells
1.10E-18	0.535749	0.168	0.042	3.28E-14	B cells Memory	CTD-3252C9.4	B-cells
3.28E-24	0.511488004	0.19	0.04	9.74E-20	B cells Memory	ITGB1	B-cells
7.85E-15	0.510917689	0.194	0.07	2.33E-10	B cells Memory	NR4A3	B-cells
1.33E-12	0.503085325	0.656	0.525	3.95E-08	B cells Memory	MTRNR2L12	B-cells
5.29E-19	0.502814075	0.349	0.168	1.57E-14	B cells Memory	CTSH	B-cells
8.24E-16	0.499054822	0.436	0.259	2.45E-11	B cells Memory	SQSTM1	B-cells
3.83E-12	0.493640905	0.74	0.632	1.14E-07	B cells Memory	UBB	B-cells
2.25E-19	0.492497133	0.346	0.163	6.69E-15	B cells Memory	CD99	B-cells
9.81E-12	0.485806472	0.701	0.578	2.92E-07	B cells Memory	SAT1	B-cells
2.74E-14	0.460773681	0.755	0.622	8.13E-10	B cells Memory	GAPDH	B-cells
5.91E-24	0.455702691	0.323	0.13	1.76E-19	B cells Memory	PLP2	B-cells
6.14E-10	0.446882881	0.244	0.13	1.82E-05	B cells Memory	MRPL18	B-cells
1.92E-07	0.443488577	0.293	0.187	0.00571725	B cells Memory	S100A11	B-cells
2.65E-19	0.439470233	0.197	0.059	7.89E-15	B cells Memory	AC079767.4	B-cells
9.75E-10	0.436231829	0.294	0.171	2.90E-05	B cells Memory	CKS2	B-cells
6.16E-12	0.429671191	0.325	0.184	1.83E-07	B cells Memory	S100A10	B-cells
1.00E-09	0.426761532	0.375	0.243	2.97E-05	B cells Memory	TUBA1A	B-cells
2.48E-16	0.413298622	0.315	0.154	7.38E-12	B cells Memory	CAPG	B-cells
1.71E-15	0.409572042	0.281	0.131	5.08E-11	B cells Memory	CCDC50	B-cells
1.29E-15	0.408426271	0.171	0.053	3.82E-11	B cells Memory	SOCS3	B-cells
1.04E-11	0.405567524	0.215	0.098	3.09E-07	B cells Memory	TXN	B-cells
3.67E-17	0.39917279	0.454	0.269	1.09E-12	B cells Memory	CMTM6	B-cells
6.96E-20	0.398243514	0.197	0.058	2.07E-15	B cells Memory	SCIMP	B-cells
9.89E-11	0.39560282	0.229	0.114	2.94E-06	B cells Memory	ADGRE5	B-cells
1.78E-12	0.394176714	0.181	0.07	5.31E-08	B cells Memory	HCST	B-cells
1.67E-11	0.384830945	0.217	0.101	4.97E-07	B cells Memory	CHORDC1	B-cells
8.11E-10	0.383950995	0.196	0.093	2.41E-05	B cells Memory	H2AFX	B-cells
7.50E-09	0.383891935	0.332	0.21	0.00022287	B cells Memory	DNAJB6	B-cells
3.96E-19	0.380519889	0.237	0.086	1.18E-14	B cells Memory	VOPP1	B-cells
3.72E-12	0.374197201	0.193	0.08	1.11E-07	B cells Memory	AHSA1	B-cells
1.04E-09	0.373777937	0.472	0.333	3.11E-05	B cells Memory	PRDX1	B-cells
5.52E-12	0.372111588	0.167	0.062	1.64E-07	B cells Memory	FABP5	B-cells
2.73E-11	0.368780025	0.247	0.125	8.12E-07	B cells Memory	CACYBP	B-cells
3.38E-13	0.361986201	0.156	0.051	1.01E-08	B cells Memory	CDC42EP3	B-cells
1.26E-14	0.360820343	0.451	0.278	3.76E-10	B cells Memory	HIGD2A	B-cells
7.31E-11	0.360559216	0.498	0.349	2.17E-06	B cells Memory	SMIM14	B-cells
1.35E-17	0.358623908	0.147	0.035	4.03E-13	B cells Memory	FAM49A	B-cells
5.19E-15	0.354632316	0.435	0.264	1.54E-10	B cells Memory	CD44	B-cells
6.40E-10	0.352941237	0.528	0.384	1.90E-05	B cells Memory	YPEL5	B-cells
2.44E-09	0.352244615	0.58	0.442	7.26E-05	B cells Memory	IER2	B-cells
2.92E-08	0.338112007	0.238	0.134	0.000868078	B cells Memory	SNHG12	B-cells
1.95E-08	0.33729446	0.481	0.355	0.000580141	B cells Memory	LSP1	B-cells
2.43E-14	0.33438368	0.261	0.125	7.21E-10	B cells Memory	HN1	B-cells
2.67E-10	0.333081213	0.805	0.693	7.95E-06	B cells Memory	ACTG1	B-cells
1.55E-07	0.326658603	0.657	0.549	0.004611255	B cells Memory	ZFAS1	B-cells
2.15E-11	0.32492079	0.26	0.136	6.39E-07	B cells Memory	PARP15	B-cells
1.71E-13	0.322878081	0.161	0.054	5.07E-09	B cells Memory	SELM	B-cells
3.93E-13	0.313612934	0.448	0.288	1.17E-08	B cells Memory	PTGES3	B-cells
6.59E-08	0.31003678	0.241	0.139	0.001959307	B cells Memory	GRN	B-cells
1.01E-14	0.300875718	0.387	0.232	3.01E-10	B cells Memory	S100A6	B-cells
1.61E-07	0.295980703	0.208	0.315	0.00479407	B cells Memory	IGKV1-5	B-cells
